id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,139436,15490801,14822350242,25907,8.53,10.88,26191,8.63,18.7,74830,24.65,53.53,0.73,0.73,0.44,0.42,15.89,142.48
1,157535,20266982,20497051329,27366,8.84,11.68,29054,9.38,29.06,81137,26.21,58.91,0.72,0.72,0.44,0.42,14.72,139.38
2,188005,27934534,27296165211,28537,9.27,13.88,28377,9.22,30.27,93339,30.33,75.16,0.72,0.71,0.45,0.42,15.42,134.72
3,205490,31106781,30699851129,29960,9.93,18.04,30623,10.15,52.68,104676,34.7,95.57,0.72,0.72,0.47,0.43,17.93,132.3
4,195274,30746400,30522054365,29198,9.73,18.32,30225,10.07,59.57,106384,35.45,99.8,0.71,0.71,0.46,0.43,20.73,132.45
5,214494,38109385,36788057262,30827,9.97,21.16,31763,10.28,62.59,116952,37.84,114.24,0.72,0.71,0.48,0.43,23.58,130.29
6,232371,37790788,36125102756,34398,10.41,23.89,36556,11.06,68.51,127710,38.65,122.54,0.74,0.74,0.48,0.44,24.09,131.6
7,258060,49880628,49078383307,36611,10.94,26.25,39106,11.69,72.41,139865,41.81,135.4,0.73,0.73,0.47,0.44,26.53,130.76
8,265316,47601774,46854012639,36310,10.9,25.79,38914,11.68,71.46,142976,42.92,139.21,0.73,0.73,0.48,0.44,23.93,129.79
9,255919,53568165,53277206081,36465,10.82,26.13,39865,11.83,79.54,138307,41.03,135.8,0.74,0.74,0.48,0.43,25.57,130.09
10,219975,41030901,39849267214,34531,10.13,23.21,41887,12.29,90.57,120506,35.35,120.71,0.76,0.76,0.47,0.42,26.24,130.85
11,230479,51654947,51474919509,37189,10.54,23.83,41093,11.65,75.02,128939,36.55,118.65,0.76,0.76,0.48,0.43,26.17,128.53
12,271317,56502556,56766216682,40246,10.71,24.41,48520,12.91,84.47,144109,38.34,127.51,0.75,0.75,0.48,0.42,27.63,128.34
13,319160,72370936,71456906216,45012,11.26,26.35,47481,11.88,74.0,167696,41.96,142.13,0.76,0.76,0.48,0.42,27.35,130.35
14,351488,82344033,80177049443,49289,11.11,27.06,53672,12.1,75.47,180855,40.77,143.87,0.76,0.76,0.47,0.41,30.03,131.29
15,355217,94735433,94143498753,48733,10.57,24.7,50226,10.9,63.78,182132,39.52,142.44,0.76,0.76,0.48,0.41,31.36,129.62
16,385924,97888845,97926156028,50021,10.5,24.78,49798,10.45,58.34,193393,40.58,151.79,0.75,0.75,0.48,0.42,31.19,128.11
17,388780,97008498,94820646499,50191,10.39,25.42,49182,10.18,58.57,194250,40.21,156.08,0.76,0.76,0.48,0.41,31.65,129.68
18,414166,112072879,113941146508,49172,10.63,24.85,54155,11.7,94.52,196515,42.47,159.44,0.75,0.75,0.47,0.41,30.61,129.79
19,327134,83209643,83754072422,44007,10.36,22.9,43584,10.26,55.04,163051,38.37,135.6,0.74,0.74,0.46,0.41,26.93,134.46
20,235281,59387894,59955876316,34647,9.8,19.26,35735,10.11,77.6,118919,33.65,104.69,0.74,0.74,0.46,0.41,22.51,138.9
21,163262,38583104,38878173042,28431,9.0,14.62,25539,8.08,17.43,88939,28.15,75.83,0.74,0.74,0.44,0.4,17.76,149.45
22,140456,34667679,31429459672,26613,8.79,12.74,24260,8.01,14.77,78056,25.78,62.39,0.73,0.73,0.43,0.4,15.96,150.51
23,122737,22049201,23071232753,25100,8.33,11.04,23363,7.75,13.74,70098,23.26,51.61,0.74,0.74,0.43,0.41,15.19,153.01
24,104858,11903727,11848723673,23032,7.96,10.15,21655,7.48,13.61,61659,21.3,44.98,0.74,0.74,0.44,0.41,14.85,153.03
25,104630,12752730,12269395872,22139,7.85,10.29,20717,7.35,14.5,60759,21.55,45.85,0.73,0.73,0.44,0.42,14.39,150.8
26,143362,25668955,26089355364,24705,8.48,13.44,22606,7.76,22.4,76426,26.22,67.35,0.73,0.73,0.44,0.41,15.33,148.53
27,168138,25257578,25401292870,27258,9.27,16.67,26567,9.04,47.73,90368,30.75,84.32,0.73,0.73,0.46,0.43,16.81,142.07
28,192996,32096617,32172165346,28463,9.48,18.88,34915,11.63,78.41,103523,34.47,99.33,0.7,0.7,0.48,0.44,20.28,130.99
29,225736,43746448,42638574550,32603,10.31,22.71,35469,11.22,68.14,123268,39.0,120.47,0.72,0.73,0.49,0.45,22.64,130.14
30,243646,47108324,45437402061,34382,10.41,24.19,37757,11.43,71.15,130241,39.42,128.38,0.73,0.73,0.48,0.44,24.51,131.28
31,255503,42016067,41787340817,34425,10.35,23.45,39352,11.83,78.7,134050,40.29,134.19,0.74,0.74,0.48,0.44,24.67,132.39
32,240523,43723077,42130911047,33376,10.1,22.72,31624,9.57,55.29,130224,39.43,132.04,0.73,0.72,0.49,0.44,23.8,131.78
33,259355,49734536,50149175638,34831,10.25,22.48,45057,13.26,185.8,134493,39.57,130.15,0.73,0.73,0.48,0.44,25.86,131.29
34,291217,59802100,60169080723,36224,10.26,22.97,55759,15.8,283.62,142148,40.28,133.86,0.74,0.74,0.49,0.44,26.91,128.26
35,269391,54083534,53758956721,37821,10.41,22.57,34528,9.51,50.03,145689,40.11,132.91,0.72,0.73,0.47,0.42,26.95,137.03
36,289696,71233727,70535075055,40414,10.55,22.94,36911,9.64,50.76,154046,40.22,133.71,0.74,0.74,0.48,0.43,26.21,136.63
37,318725,71241774,70591929643,43346,10.76,24.39,39588,9.83,51.08,168577,41.86,142.31,0.74,0.75,0.48,0.42,27.5,132.08
38,327389,79360463,79570819994,44568,10.44,22.8,42079,9.85,52.08,171795,40.22,139.57,0.75,0.75,0.47,0.42,30.14,134.5
39,351838,103449401,106663440181,46295,10.35,22.54,43458,9.72,52.46,180970,40.47,145.19,0.76,0.76,0.47,0.41,28.9,132.67
40,387138,103584262,101753768620,49576,10.25,23.48,45759,9.46,49.54,194966,40.32,153.8,0.76,0.76,0.47,0.41,31.0,131.34
41,437508,131766015,132305835819,54081,11.08,26.57,59197,12.13,107.04,210126,43.06,163.92,0.75,0.75,0.47,0.4,31.33,132.88
42,392463,110515208,109537013068,50695,10.89,25.34,53870,11.57,77.99,191250,41.08,151.58,0.74,0.74,0.48,0.42,29.42,132.49
43,303504,85781756,87194655340,41149,9.73,20.25,46970,11.1,88.78,150872,35.67,121.87,0.74,0.73,0.47,0.42,27.69,133.15
44,234545,62666343,66100204709,33188,9.33,17.87,35973,10.11,59.03,120950,33.99,104.48,0.73,0.73,0.48,0.43,23.15,132.9
45,177728,37201940,37205328625,27031,8.51,14.9,37886,11.93,149.25,91733,28.87,78.7,0.72,0.72,0.48,0.44,19.55,131.91
46,140025,27834968,26785465085,25049,8.11,12.45,24910,8.06,26.24,78879,25.54,62.73,0.71,0.7,0.46,0.43,17.64,136.19
47,143288,20195837,20470903549,26070,8.33,11.74,27286,8.71,22.19,80786,25.8,58.65,0.72,0.72,0.44,0.42,15.93,136.19
48,140733,20610293,20839390829,25794,8.24,10.99,27288,8.72,24.33,78114,24.95,55.16,0.73,0.73,0.45,0.42,15.41,139.23
49,134665,17900085,17791378116,24505,8.04,11.43,25469,8.36,24.0,75483,24.78,56.73,0.71,0.71,0.46,0.44,15.45,135.42
50,168534,26593941,26809258613,26427,8.75,15.18,26711,8.84,28.9,88153,29.18,75.78,0.73,0.73,0.46,0.43,16.52,133.12
51,199119,34232993,34936623783,28890,9.59,17.73,28663,9.51,44.81,102849,34.12,94.86,0.72,0.72,0.46,0.43,17.18,131.93
52,220147,46781984,47806294277,30416,10.02,19.59,32187,10.6,55.29,114261,37.62,108.05,0.73,0.73,0.46,0.43,19.86,132.62
53,254271,55632785,56540389454,33107,10.39,21.96,32286,10.13,59.79,132330,41.52,131.46,0.72,0.72,0.48,0.44,20.75,130.16
54,241539,54417724,54795684327,33993,10.17,21.91,33742,10.1,59.64,130243,38.97,126.96,0.73,0.73,0.48,0.43,24.18,131.59
55,260454,55301767,56656466324,35956,10.38,22.49,35261,10.18,57.65,139051,40.14,131.14,0.73,0.73,0.47,0.43,25.35,133.21
56,255533,54699597,55193417811,36702,10.51,22.4,35158,10.07,54.79,136870,39.18,128.52,0.74,0.73,0.48,0.44,25.06,134.32
57,251025,61185231,57509155970,35818,10.02,21.9,34358,9.61,54.25,136016,38.05,126.73,0.72,0.72,0.48,0.43,26.87,133.78
58,274190,61855345,62140750326,38007,10.36,23.76,35463,9.67,53.2,146998,40.09,135.75,0.74,0.73,0.49,0.43,26.19,131.76
59,303435,64126673,63263944731,41033,10.6,26.36,42273,10.92,57.31,156401,40.41,143.75,0.75,0.75,0.48,0.43,26.5,132.74
60,340709,78317909,79111606093,44421,11.24,25.92,44265,11.2,54.61,173976,44.03,150.94,0.76,0.75,0.47,0.42,26.59,134.21
61,436344,81622057,83013623675,46589,11.4,26.74,115710,28.33,555.37,179581,43.96,151.95,0.75,0.75,0.47,0.42,28.72,133.42
62,483761,100820692,103099929132,47308,11.16,25.56,156972,37.04,668.94,180511,42.59,146.65,0.75,0.75,0.47,0.41,28.65,135.15
63,450984,120787254,124146338817,50344,10.95,24.56,96078,20.89,420.59,197687,42.98,153.43,0.75,0.75,0.47,0.4,30.16,131.69
64,405040,117749885,119462505726,52315,10.85,24.81,47758,9.91,43.91,202619,42.04,156.32,0.76,0.75,0.47,0.41,32.27,131.55
65,496246,163032233,168790957328,58652,11.67,26.63,57486,11.44,55.2,237274,47.23,178.22,0.75,0.75,0.46,0.4,31.6,131.71
